Topic,comp_role,Year,weight,word_category
8,fi_35+trustee,2002,0.2513,2
8,fi_35+trustee,2003,0.2233,2
8,fi_35+trustee,2004,0.1974,2
8,fi_35+trustee,2005,0.1777,2
8,fi_35+trustee,2006,0.1614,2
8,fi_35+trustee,2007,0.1514,2
8,fi_35+trustee,2008,0.149,2
9,fi_306+servicer,2002,0.078,2
9,fi_82+seller,2003,0.0756,2
9,fi_82+seller,2004,0.077,2
9,fi_82+seller,2005,0.08,2
9,fi_82+seller,2006,0.0808,2
9,fi_82+seller,2007,0.083,2
9,fi_82+seller,2008,0.0831,2
10,fi_159+servicer,2002,0.1176,2
10,fi_159+servicer,2003,0.1194,2
10,fi_159+servicer,2004,0.1234,2
10,fi_159+servicer,2005,0.1182,2
10,fi_159+servicer,2006,0.1072,2
10,fi_159+servicer,2007,0.1028,2
10,fi_129+depositor,2008,0.1029,2
11,fi_171+issuer,2002,0.204,2
11,fi_171+issuer,2003,0.2047,2
11,fi_171+issuer,2004,0.1987,2
11,fi_171+issuer,2005,0.1882,2
11,fi_171+issuer,2006,0.1775,2
11,fi_171+issuer,2007,0.1786,2
11,fi_171+issuer,2008,0.1792,2
12,fi_177+seller,2002,0.132,2
12,fi_177+seller,2003,0.1309,2
12,fi_177+seller,2004,0.1282,2
12,fi_177+issuer,2005,0.1339,2
12,fi_177+issuer,2006,0.1364,2
12,fi_177+issuer,2007,0.1343,2
12,fi_177+issuer,2008,0.1341,2
13,fi_88+originator,2002,0.2669,2
13,fi_88+originator,2003,0.2515,2
13,fi_88+originator,2004,0.226,2
13,fi_88+originator,2005,0.2079,2
13,fi_88+originator,2006,0.1958,2
13,fi_88+originator,2007,0.1963,2
13,fi_88+originator,2008,0.1973,2
14,fi_146+seller,2002,0.2647,2
14,fi_146+seller,2003,0.256,2
14,fi_146+seller,2004,0.2368,2
14,fi_146+seller,2005,0.2141,2
14,fi_146+seller,2006,0.1958,2
14,fi_146+seller,2007,0.1888,2
14,fi_146+seller,2008,0.1879,2
15,fi_193+depositor,2002,0.105,2
15,fi_193+depositor,2003,0.1107,2
15,fi_193+depositor,2004,0.1229,2
15,fi_193+depositor,2005,0.1316,2
15,fi_193+depositor,2006,0.1378,2
15,fi_193+depositor,2007,0.1406,2
15,fi_193+depositor,2008,0.1406,2
16,fi_22+seller,2002,0.1442,2
16,fi_22+seller,2003,0.1401,2
16,fi_22+seller,2004,0.1332,2
16,fi_22+seller,2005,0.1288,2
16,fi_22+seller,2006,0.1281,2
16,fi_22+seller,2007,0.1274,2
16,fi_22+seller,2008,0.1275,2
17,fi_137+servicer,2002,0.2297,2
17,fi_137+servicer,2003,0.2282,2
17,fi_137+servicer,2004,0.2214,2
17,fi_137+servicer,2005,0.2131,2
17,fi_79+servicer,2006,0.2119,2
17,fi_79+servicer,2007,0.2294,2
17,fi_79+servicer,2008,0.2362,2
18,fi_306+securities-administrator,2002,0.1668,2
18,fi_306+securities-administrator,2003,0.1669,2
18,fi_306+securities-administrator,2004,0.1652,2
18,fi_306+securities-administrator,2005,0.1637,2
18,fi_306+securities-administrator,2006,0.1572,2
18,fi_306+securities-administrator,2007,0.1566,2
18,fi_306+securities-administrator,2008,0.1573,2
19,fi_41+depositor,2002,0.1611,2
19,fi_41+depositor,2003,0.1551,2
19,fi_41+depositor,2004,0.144,2
19,fi_41+issuer,2005,0.139,2
19,fi_41+issuer,2006,0.1326,2
19,fi_41+issuer,2007,0.1354,2
19,fi_41+issuer,2008,0.136,2
20,fi_34+seller,2002,0.264,2
20,fi_34+seller,2003,0.248,2
20,fi_33+depositor,2004,0.2289,2
20,fi_34+servicer,2005,0.2249,2
20,fi_34+servicer,2006,0.2368,2
20,fi_34+servicer,2007,0.2393,2
20,fi_34+servicer,2008,0.2413,2
21,fi_306+servicer,2002,0.1377,2
21,fi_306+servicer,2003,0.1329,2
21,fi_306+servicer,2004,0.1223,2
21,fi_74+depositor,2005,0.1201,2
21,fi_74+depositor,2006,0.1219,2
21,fi_74+depositor,2007,0.1221,2
21,fi_74+depositor,2008,0.1221,2
22,fi_138+servicer,2002,0.1877,2
22,fi_138+servicer,2003,0.1864,2
22,fi_138+servicer,2004,0.1811,2
22,fi_138+servicer,2005,0.1742,2
22,fi_138+servicer,2006,0.1687,2
22,fi_138+servicer,2007,0.1653,2
22,fi_138+servicer,2008,0.1653,2
23,fi_165+issuer,2002,0.109,2
23,fi_165+issuer,2003,0.1105,2
23,fi_165+issuer,2004,0.111,2
23,fi_165+issuer,2005,0.1074,2
23,fi_306+servicer,2006,0.1239,2
23,fi_306+servicer,2007,0.1316,2
23,fi_306+servicer,2008,0.1317,2
24,fi_230+issuer,2002,0.192,2
24,fi_230+issuer,2003,0.1877,2
24,fi_230+issuer,2004,0.1765,2
24,fi_270+servicer,2005,0.1648,2
24,fi_270+servicer,2006,0.1566,2
24,fi_230+depositor,2007,0.1624,2
24,fi_230+depositor,2008,0.1557,2
25,fi_6+servicer,2002,0.1206,2
25,fi_6+servicer,2003,0.1246,2
25,fi_6+servicer,2004,0.125,2
25,fi_6+servicer,2005,0.1314,2
25,fi_6+servicer,2006,0.1368,2
25,fi_6+servicer,2007,0.1399,2
25,fi_6+servicer,2008,0.1399,2
26,fi_306+servicer,2002,0.2865,2
26,fi_306+servicer,2003,0.268,2
26,fi_306+servicer,2004,0.2532,2
26,fi_306+servicer,2005,0.2468,2
26,fi_306+servicer,2006,0.2491,2
26,fi_306+servicer,2007,0.2533,2
26,fi_306+servicer,2008,0.2552,2
27,fi_306+securities-administrator,2002,0.2791,2
27,fi_306+securities-administrator,2003,0.2769,2
27,fi_306+securities-administrator,2004,0.2767,2
27,fi_306+securities-administrator,2005,0.2834,2
27,fi_306+securities-administrator,2006,0.2803,2
27,fi_306+securities-administrator,2007,0.2759,2
27,fi_306+securities-administrator,2008,0.2753,2
28,fi_181+servicer,2002,0.1528,2
28,fi_153+servicer,2003,0.1537,2
28,fi_153+servicer,2004,0.1539,2
28,fi_153+servicer,2005,0.1534,2
28,fi_306+securities-administrator,2006,0.1484,2
28,fi_306+securities-administrator,2007,0.146,2
28,fi_306+securities-administrator,2008,0.145,2
29,fi_62+depositor,2002,0.0942,2
29,fi_62+depositor,2003,0.0947,2
29,fi_62+depositor,2004,0.0949,2
29,fi_62+depositor,2005,0.0958,2
29,fi_62+depositor,2006,0.0926,2
29,fi_62+depositor,2007,0.0936,2
29,fi_62+depositor,2008,0.0936,2
30,fi_72+depositor,2002,0.1364,2
30,fi_72+depositor,2003,0.1408,2
30,fi_72+depositor,2004,0.1427,2
30,fi_72+depositor,2005,0.1409,2
30,fi_72+depositor,2006,0.1425,2
30,fi_72+depositor,2007,0.1462,2
30,fi_72+depositor,2008,0.1462,2
1,fi_141+trustee,2002,0.1897,3
1,fi_141+trustee,2003,0.1918,3
1,fi_141+trustee,2004,0.1951,3
1,fi_141+trustee,2005,0.1985,3
